电子产品名,价格（元）,销量（件）,时间,分类,品牌,原价（元）,折扣率（%）,评价数量,好评率（%）,发货地,保修期（月）
联想 笔记本电脑 X8,19852,6748,2024/6/27,笔记本电脑,联想,27877.39,28.79,56,94.53,成都,6
苹果 智能穿戴 X5,566,1990,2024/12/12,智能穿戴,苹果,754.38,24.97,279,83.87,上海,12
戴尔 智能家居 X10,4876,2379,2024/9/9,智能家居,戴尔,5409.43,9.86,391,91.49,武汉,18
小米 投影仪 X3,9652,3692,2024/11/29,投影仪,小米,10230.57,5.66,890,98.23,武汉,12
联想 平板电脑 X8,6662,1574,2024/2/9,平板电脑,联想,7384.79,9.79,130,82.46,成都,6
戴尔 投影仪 X1,4094,621,2024/12/11,投影仪,戴尔,4687.87,12.67,778,94.73,武汉,24
苹果 智能家居 X5,1835,814,2024/9/23,智能家居,苹果,2713.07,32.36,292,85.95,杭州,6
海尔 电视 X8,10600,5621,2025/1/13,电视,海尔,11914.76,11.03,661,82.5,深圳,12
苹果 投影仪 X1,1827,3253,2024/9/18,投影仪,苹果,2573.6,29.01,606,86.23,上海,18
苹果 智能手机 X9,8356,31086,2024/10/30,智能手机,苹果,11179.24,25.25,526,80.17,上海,6
小米 智能穿戴 X10,737,3247,2025/1/23,智能穿戴,小米,840.59,12.32,377,84.21,武汉,12
三星 投影仪 X7,2864,1949,2024/3/11,投影仪,三星,3198.84,10.47,715,84.86,上海,12
OPPO 耳机 X7,723,1018,2024/12/25,耳机,OPPO,936.72,22.82,175,94.34,上海,6
苹果 耳机 X3,133,937,2024/10/7,耳机,苹果,164.38,19.09,540,90.15,成都,12
小米 耳机 X2,63,2857,2025/1/12,耳机,小米,68.18,7.6,17,80.57,广州,12
联想 电视 X6,7838,4412,2024/3/11,电视,联想,11524.37,31.99,816,88.43,杭州,18
飞利浦 平板电脑 X3,7490,5234,2024/7/13,平板电脑,飞利浦,9962.79,24.82,832,97.1,广州,24
苹果 平板电脑 X10,3526,9598,2024/9/17,平板电脑,苹果,4346.56,18.88,514,91.95,上海,24
联想 投影仪 X2,781,2323,2024/9/26,投影仪,联想,939.75,16.89,761,98.83,成都,18
海尔 笔记本电脑 X9,17684,7148,2024/7/7,笔记本电脑,海尔,22661.07,21.96,490,98.68,上海,24
苹果 耳机 X5,80,2311,2024/12/10,耳机,苹果,92.63,13.64,127,90.73,北京,12
小米 智能家居 X6,1585,87,2024/7/17,智能家居,小米,2359.52,32.83,43,85.3,广州,6
华为 平板电脑 X4,2583,4223,2024/12/23,平板电脑,华为,2788.11,7.36,178,88.82,上海,18
OPPO 电视 X7,8238,5909,2024/6/28,电视,OPPO,8835.28,6.76,826,91.79,北京,24
OPPO 电视 X8,2399,5497,2024/9/12,电视,OPPO,3439.03,30.24,138,87.67,上海,18
飞利浦 智能家居 X5,2995,294,2024/12/24,智能家居,飞利浦,4146.2,27.77,963,87.72,深圳,12
飞利浦 平板电脑 X9,6753,7571,2024/11/20,平板电脑,飞利浦,6812.44,0.87,335,80.9,上海,18
苹果 智能穿戴 X2,600,2234,2024/3/9,智能穿戴,苹果,879.54,31.78,353,92.22,北京,18
索尼 电视 X7,2525,9909,2024/9/23,电视,索尼,2566.62,1.62,178,81.79,广州,6
联想 电视 X7,9593,2428,2024/10/8,电视,联想,12389.89,22.57,301,96.4,广州,24
OPPO 平板电脑 X5,2798,9999,2025/1/24,平板电脑,OPPO,3857.48,27.47,842,87.02,北京,6
戴尔 电视 X1,3732,4688,2025/1/3,电视,戴尔,4325.07,13.71,992,81.2,杭州,12
海尔 投影仪 X3,5283,2545,2024/8/16,投影仪,海尔,6112.62,13.57,644,94.75,武汉,24
OPPO 智能手机 X9,9627,40865,2024/12/25,智能手机,OPPO,12118.55,20.56,909,93.84,杭州,18
华为 电视 X1,8133,2860,2024/6/23,电视,华为,8591.11,5.33,40,80.13,深圳,18
三星 智能穿戴 X1,712,4628,2024/4/1,智能穿戴,三星,826.9,13.9,895,88.88,杭州,24
华为 耳机 X9,851,2100,2024/11/10,耳机,华为,1010.51,15.79,447,86.58,杭州,12
OPPO 电视 X8,14599,2863,2024/9/24,电视,OPPO,20680.36,29.41,147,86.14,北京,12
苹果 平板电脑 X5,662,6287,2024/4/22,平板电脑,苹果,923.22,28.29,825,91.51,武汉,6
飞利浦 投影仪 X6,8569,2096,2024/10/29,投影仪,飞利浦,10359.44,17.28,239,98.3,上海,24
飞利浦 平板电脑 X8,7752,968,2024/3/8,平板电脑,飞利浦,10914.02,28.97,334,82.58,北京,12
索尼 平板电脑 X6,1692,890,2024/5/7,平板电脑,索尼,2172.82,22.13,665,82.64,杭州,12
海尔 耳机 X1,64,1737,2025/1/22,耳机,海尔,66.47,3.71,385,89.93,广州,6
海尔 智能家居 X3,673,1927,2024/3/3,智能家居,海尔,1001.32,32.79,609,86.63,深圳,12
海尔 智能家居 X5,1683,118,2024/6/18,智能家居,海尔,1748.13,3.73,691,98.44,武汉,18
索尼 耳机 X10,99,441,2024/4/13,耳机,索尼,124.01,20.17,915,82.25,北京,18
三星 智能穿戴 X9,875,1874,2024/8/28,智能穿戴,三星,1308.34,33.12,69,88.87,武汉,6
苹果 电视 X1,9828,747,2024/6/20,电视,苹果,11752.51,16.38,643,90.89,广州,12
小米 笔记本电脑 X6,12173,4611,2024/8/5,笔记本电脑,小米,14278.16,14.74,615,97.87,成都,18
苹果 投影仪 X1,3376,1558,2024/12/4,投影仪,苹果,4312.7,21.72,542,82.78,上海,12
戴尔 耳机 X4,580,731,2024/8/7,耳机,戴尔,594.75,2.48,787,92.98,上海,12
联想 投影仪 X3,6008,3248,2024/2/12,投影仪,联想,8263.3,27.29,802,86.86,上海,18
联想 耳机 X3,998,1255,2024/2/15,耳机,联想,1158.72,13.87,587,80.71,成都,24
华为 智能穿戴 X1,956,4462,2024/9/13,智能穿戴,华为,1087.06,12.06,371,92.52,深圳,24
苹果 投影仪 X2,3998,1674,2024/11/23,投影仪,苹果,5097.75,21.57,712,92.29,杭州,12
苹果 投影仪 X9,1818,2444,2024/10/5,投影仪,苹果,2619.24,30.59,545,82.47,武汉,18
索尼 耳机 X10,356,2094,2025/1/12,耳机,索尼,444.54,19.92,222,98.7,武汉,6
小米 电视 X8,13269,672,2024/7/29,电视,小米,16019.24,17.17,596,88.93,成都,24
海尔 智能手机 X1,2978,6388,2024/8/29,智能手机,海尔,3534.14,15.74,243,83.47,广州,6
三星 投影仪 X6,9863,553,2025/1/31,投影仪,三星,14762.45,33.19,306,88.45,武汉,12
海尔 智能穿戴 X1,891,2805,2025/1/25,智能穿戴,海尔,1034.55,13.88,812,94.62,杭州,6
三星 智能家居 X8,3460,2119,2024/6/20,智能家居,三星,3993.09,13.35,541,82.13,广州,6
索尼 智能穿戴 X8,418,514,2024/10/31,智能穿戴,索尼,570.07,26.68,762,85.68,成都,24
飞利浦 笔记本电脑 X10,8505,635,2024/12/26,笔记本电脑,飞利浦,11161.72,23.8,683,81.1,杭州,18
苹果 平板电脑 X8,5560,5791,2024/4/11,平板电脑,苹果,8068.46,31.09,436,92.82,北京,24
联想 智能穿戴 X4,173,4411,2024/5/26,智能穿戴,联想,188.29,8.12,226,94.06,上海,18
OPPO 耳机 X9,67,2117,2024/8/23,耳机,OPPO,75.44,11.18,667,90.01,上海,6
戴尔 耳机 X4,134,2496,2024/11/24,耳机,戴尔,149,10.07,189,86.74,深圳,12
苹果 智能手机 X1,6295,42263,2024/9/14,智能手机,苹果,7680.78,18.04,185,88.99,武汉,6
三星 智能手机 X10,9628,35239,2024/9/30,智能手机,三星,14174.05,32.07,539,85.36,深圳,12
飞利浦 智能家居 X8,3561,2967,2024/8/12,智能家居,飞利浦,4522.09,21.25,233,83.91,成都,12
联想 投影仪 X10,7837,4676,2024/4/11,投影仪,联想,11429.58,31.43,232,90.22,成都,12
苹果 电视 X5,9511,7166,2025/1/5,电视,苹果,13086.93,27.32,887,86.81,杭州,18
戴尔 智能手机 X10,3808,35027,2024/4/4,智能手机,戴尔,4955.68,23.16,883,82.98,杭州,18
小米 平板电脑 X5,5201,1194,2024/5/13,平板电脑,小米,6345.91,18.04,660,93.46,武汉,6
联想 笔记本电脑 X3,10565,5682,2024/4/28,笔记本电脑,联想,12694.77,16.78,993,89.52,深圳,24
联想 笔记本电脑 X10,14938,9033,2024/11/29,笔记本电脑,联想,21478.43,30.45,998,98.81,北京,6
飞利浦 智能家居 X10,453,1748,2024/11/17,智能家居,飞利浦,638.6,29.06,468,93.17,杭州,12
海尔 电视 X5,7861,6761,2024/9/27,电视,海尔,8639.46,9.01,461,97.87,广州,6
三星 智能家居 X1,1022,2279,2025/2/6,智能家居,三星,1356.21,24.64,344,87.59,北京,12
华为 智能家居 X5,3701,564,2024/12/6,智能家居,华为,3739.63,1.03,229,98.01,深圳,18
苹果 智能家居 X2,1690,1905,2025/1/2,智能家居,苹果,1813.82,6.83,612,86.87,广州,24
华为 智能手机 X9,7650,1421,2024/12/6,智能手机,华为,9799.82,21.94,273,97.15,深圳,24
戴尔 智能穿戴 X8,114,4839,2024/3/11,智能穿戴,戴尔,146.54,22.21,688,85.36,武汉,6
三星 智能手机 X8,2874,17000,2024/7/24,智能手机,三星,3784.22,24.05,256,82.85,上海,12
戴尔 投影仪 X6,1750,1774,2024/12/5,投影仪,戴尔,2226.89,21.42,212,89.65,深圳,12
小米 笔记本电脑 X4,10804,1733,2024/5/19,笔记本电脑,小米,12205.59,11.48,328,89.92,上海,12
三星 智能家居 X7,4175,1727,2024/6/10,智能家居,三星,4266.65,2.15,462,96.38,武汉,12
索尼 智能穿戴 X6,724,2036,2024/11/22,智能穿戴,索尼,780.02,7.18,462,84.81,北京,6
戴尔 投影仪 X9,9068,1336,2024/6/25,投影仪,戴尔,9626.45,5.8,784,83.02,深圳,6
海尔 笔记本电脑 X3,15181,9738,2024/5/22,笔记本电脑,海尔,21112.69,28.1,88,88.53,杭州,18
OPPO 智能家居 X6,4597,1990,2024/10/13,智能家居,OPPO,6023.97,23.69,84,85.79,广州,18
小米 智能家居 X9,1960,1752,2025/1/6,智能家居,小米,2155.54,9.07,750,81.34,成都,24
三星 智能手机 X4,4791,3831,2024/12/4,智能手机,三星,5272.37,9.13,908,87.58,杭州,18
联想 智能穿戴 X3,201,1216,2024/3/18,智能穿戴,联想,237.64,15.42,765,91.79,杭州,18
戴尔 耳机 X7,701,1259,2024/9/20,耳机,戴尔,939.33,25.37,116,89.29,成都,6
苹果 智能手机 X4,5920,9175,2024/11/21,智能手机,苹果,7220.45,18.01,371,93.27,北京,18
戴尔 投影仪 X4,1688,266,2024/9/25,投影仪,戴尔,2032.21,16.94,708,90.43,深圳,6
三星 智能家居 X7,2285,255,2024/6/2,智能家居,三星,2476.31,7.73,324,81.39,成都,24
海尔 智能手机 X2,4262,12048,2024/7/19,智能手机,海尔,5870.44,27.4,451,86.34,成都,6
联想 平板电脑 X4,1021,3463,2024/12/2,平板电脑,联想,1451.18,29.64,418,86.67,深圳,6
苹果 耳机 X8,536,1125,2024/11/6,耳机,苹果,610.43,12.19,370,84.53,北京,12
海尔 电视 X7,3492,3173,2024/9/30,电视,海尔,4570.83,23.6,654,85.08,上海,6
三星 智能穿戴 X1,590,806,2024/8/31,智能穿戴,三星,795.66,25.85,494,80.41,广州,24
OPPO 智能手机 X5,9149,47031,2024/5/2,智能手机,OPPO,11428.03,19.94,818,94.53,上海,18
飞利浦 投影仪 X5,9311,4395,2024/12/22,投影仪,飞利浦,11631.67,19.95,537,95.22,武汉,12
索尼 智能家居 X4,1136,802,2024/7/21,智能家居,索尼,1643.87,30.89,70,94.31,杭州,24
海尔 电视 X7,6507,8964,2024/12/13,电视,海尔,8925.05,27.09,671,82.48,成都,24
OPPO 智能手机 X8,2838,45711,2024/4/23,智能手机,OPPO,2876.09,1.32,36,80.88,广州,12
三星 智能家居 X8,1759,2100,2024/11/27,智能家居,三星,2235.94,21.33,438,89.09,杭州,6
飞利浦 平板电脑 X8,5536,4381,2024/10/9,平板电脑,飞利浦,7178.18,22.88,400,88.2,武汉,12
海尔 智能手机 X10,2602,18364,2024/4/16,智能手机,海尔,3453.67,24.66,881,80.11,北京,24
戴尔 电视 X7,7844,2649,2024/7/13,电视,戴尔,8315.79,5.67,778,96.04,成都,24
海尔 智能穿戴 X7,905,3633,2024/10/18,智能穿戴,海尔,945.04,4.24,853,86.84,上海,24
海尔 耳机 X1,261,1571,2024/6/2,耳机,海尔,299.61,12.89,591,95.99,广州,18
三星 耳机 X9,971,572,2024/3/14,耳机,三星,1119.34,13.25,966,90.2,北京,24
海尔 笔记本电脑 X3,12814,19928,2024/5/18,笔记本电脑,海尔,18489.58,30.7,169,86.12,武汉,12
苹果 投影仪 X1,8583,3536,2024/10/31,投影仪,苹果,9926.28,13.53,400,87.95,武汉,6
苹果 智能家居 X3,1332,788,2024/10/8,智能家居,苹果,1987.28,32.97,974,96.6,北京,18
三星 智能穿戴 X2,602,3403,2024/5/20,智能穿戴,三星,803.35,25.06,497,88.58,北京,12
联想 投影仪 X10,6024,2211,2024/11/3,投影仪,联想,8785.88,31.44,988,87.26,上海,6
联想 电视 X8,9656,5752,2024/6/14,电视,联想,12660.43,23.73,874,98.07,杭州,24
索尼 平板电脑 X8,6153,5065,2025/2/2,平板电脑,索尼,8799.61,30.08,919,89.25,武汉,18
索尼 智能手机 X5,8286,32598,2024/8/12,智能手机,索尼,8738.07,5.17,423,91.66,广州,6
索尼 笔记本电脑 X5,6339,12085,2024/5/20,笔记本电脑,索尼,8063.27,21.38,574,96.13,广州,24
苹果 投影仪 X2,4438,646,2024/8/28,投影仪,苹果,5268,15.76,996,84.44,成都,6
苹果 智能穿戴 X7,211,747,2024/3/9,智能穿戴,苹果,227.86,7.4,922,82.88,北京,18
海尔 笔记本电脑 X9,13960,12854,2024/7/20,笔记本电脑,海尔,14254.65,2.07,143,93.3,广州,18
OPPO 电视 X3,2190,9455,2024/9/24,电视,OPPO,2579.97,15.12,443,87.41,成都,12
三星 智能穿戴 X6,384,3558,2024/9/1,智能穿戴,三星,534.66,28.18,847,91.01,杭州,6
苹果 平板电脑 X8,5068,7393,2025/1/22,平板电脑,苹果,5097.47,0.58,703,85.64,武汉,18
飞利浦 智能手机 X9,1248,34862,2024/10/9,智能手机,飞利浦,1427.5,12.57,80,84.11,成都,24
OPPO 智能手机 X2,2040,39302,2024/7/31,智能手机,OPPO,2307.79,11.6,436,81.45,深圳,24
联想 智能穿戴 X5,152,2156,2024/7/31,智能穿戴,联想,155.46,2.23,453,98.34,上海,18
华为 平板电脑 X1,3109,4675,2024/6/16,平板电脑,华为,3980.89,21.9,312,98.91,上海,18
联想 智能穿戴 X8,201,500,2025/1/16,智能穿戴,联想,223.95,10.25,501,81.81,武汉,18
海尔 智能穿戴 X6,114,4358,2024/7/15,智能穿戴,海尔,169.5,32.74,891,89.17,成都,12
戴尔 耳机 X7,899,2484,2025/1/18,耳机,戴尔,998.13,9.93,511,90.09,成都,12
华为 平板电脑 X2,4268,706,2025/1/8,平板电脑,华为,5666.53,24.68,43,93.45,上海,18
联想 平板电脑 X3,6539,1505,2024/6/26,平板电脑,联想,7102.27,7.93,696,80.83,杭州,18
小米 智能穿戴 X8,952,953,2024/5/20,智能穿戴,小米,1094.57,13.03,118,81.28,上海,24
华为 智能穿戴 X5,738,4374,2024/8/24,智能穿戴,华为,1030.49,28.38,458,81.49,北京,18
OPPO 耳机 X1,239,1264,2024/8/30,耳机,OPPO,280.55,14.81,376,92.93,杭州,18
三星 平板电脑 X3,3414,5411,2024/6/10,平板电脑,三星,3907.96,12.64,994,87.06,广州,24
飞利浦 笔记本电脑 X9,14614,2248,2024/3/7,笔记本电脑,飞利浦,21351.8,31.56,773,83.86,北京,18
三星 电视 X1,7256,7484,2024/11/5,电视,三星,10147.18,28.49,197,95.53,广州,18
戴尔 电视 X3,14806,3476,2024/2/23,电视,戴尔,20936.9,29.28,217,92,上海,18
小米 电视 X9,7459,5609,2024/4/22,电视,小米,9933.58,24.91,639,88.8,成都,18
苹果 笔记本电脑 X10,12620,18875,2024/7/12,笔记本电脑,苹果,15665.52,19.44,681,92.05,深圳,18
OPPO 智能家居 X8,3724,2822,2024/6/20,智能家居,OPPO,3967.12,6.13,637,94.98,武汉,6
联想 耳机 X9,747,1410,2024/11/20,耳机,联想,810.38,7.82,709,95.84,武汉,12
戴尔 智能手机 X6,2900,16768,2024/5/5,智能手机,戴尔,4255.35,31.85,151,98.21,北京,6
索尼 智能家居 X5,4111,762,2024/8/5,智能家居,索尼,5591.7,26.48,497,98.36,成都,6
戴尔 智能家居 X4,224,1516,2024/5/4,智能家居,戴尔,333.36,32.8,118,82.72,北京,18
索尼 电视 X10,1003,9905,2024/10/31,电视,索尼,1371.14,26.85,760,98.95,成都,18
小米 智能家居 X3,4196,2491,2024/7/21,智能家居,小米,6001.46,30.08,59,83.49,深圳,6
小米 智能家居 X10,4201,1317,2024/2/11,智能家居,小米,5573.17,24.62,680,87.92,成都,18
联想 投影仪 X8,1449,2397,2024/6/2,投影仪,联想,1512.5,4.2,378,89.11,北京,24
联想 投影仪 X7,5339,4725,2024/2/9,投影仪,联想,6630.16,19.47,445,96.14,成都,18
三星 平板电脑 X10,5478,2165,2024/8/30,平板电脑,三星,7561.53,27.55,56,83.07,杭州,6
海尔 耳机 X6,487,115,2024/8/18,耳机,海尔,697.9,30.22,236,88.2,上海,12
华为 智能家居 X9,3984,2224,2024/6/8,智能家居,华为,5910.99,32.6,239,83.92,广州,18
海尔 笔记本电脑 X2,6725,3124,2024/11/9,笔记本电脑,海尔,8620.38,21.99,393,81.85,广州,18
华为 智能家居 X7,4158,2464,2024/6/20,智能家居,华为,5758.41,27.79,918,94.89,广州,18
三星 智能手机 X7,8441,7199,2024/9/19,智能手机,三星,11724.6,28.01,220,98.89,成都,18
海尔 投影仪 X10,9979,876,2025/1/6,投影仪,海尔,13521.25,26.2,482,85.51,北京,18
戴尔 笔记本电脑 X9,6937,14363,2024/10/2,笔记本电脑,戴尔,7440.81,6.77,1000,96.04,上海,6
苹果 智能手机 X2,8640,13884,2024/10/18,智能手机,苹果,12696.53,31.95,415,87.22,北京,6
海尔 智能穿戴 X8,907,1545,2024/4/18,智能穿戴,海尔,952.34,4.76,781,84.97,广州,12
戴尔 智能手机 X6,5951,15615,2024/6/13,智能手机,戴尔,6522.67,8.76,136,86.24,北京,12
戴尔 平板电脑 X9,7908,3380,2024/6/2,平板电脑,戴尔,9281,14.79,736,85.51,杭州,6
小米 投影仪 X6,1410,4202,2024/12/4,投影仪,小米,1760.93,19.93,316,94.41,武汉,12
华为 智能家居 X3,2102,846,2024/8/15,智能家居,华为,2301.72,8.68,818,83.27,上海,12
戴尔 投影仪 X2,9263,3798,2025/2/1,投影仪,戴尔,12882.45,28.1,659,86.45,深圳,12
三星 电视 X4,5114,4768,2024/11/17,电视,三星,7653.06,33.18,526,93.52,武汉,12
飞利浦 智能家居 X6,1353,477,2024/5/14,智能家居,飞利浦,1946.1,30.48,358,92.61,上海,12
OPPO 笔记本电脑 X2,4459,6634,2025/1/4,笔记本电脑,OPPO,5258.84,15.21,833,87.72,上海,18
联想 智能穿戴 X7,105,3627,2025/1/14,智能穿戴,联想,133.75,21.49,692,89.99,武汉,18
华为 智能家居 X1,187,2591,2024/6/5,智能家居,华为,240.03,22.09,37,86.94,广州,12
三星 智能穿戴 X1,572,323,2024/10/8,智能穿戴,三星,703.56,18.7,500,98.75,上海,6
飞利浦 智能穿戴 X4,889,2123,2024/10/9,智能穿戴,飞利浦,1253.79,29.1,515,89.97,成都,12
苹果 耳机 X10,474,2799,2024/5/24,耳机,苹果,644.85,26.49,458,89.22,成都,12
索尼 智能家居 X5,3640,2737,2024/7/12,智能家居,索尼,4663.53,21.95,931,89.61,广州,18
戴尔 笔记本电脑 X5,12811,13354,2024/2/11,笔记本电脑,戴尔,16639.59,23.01,596,86.14,深圳,12
小米 平板电脑 X7,6616,4280,2024/11/16,平板电脑,小米,9578.08,30.93,480,86.18,武汉,24
海尔 笔记本电脑 X8,14632,1913,2024/7/16,笔记本电脑,海尔,16639.16,12.06,282,89.35,成都,12
OPPO 平板电脑 X10,6582,3358,2024/9/27,平板电脑,OPPO,9031.28,27.12,78,89.19,深圳,12
苹果 电视 X2,13415,5118,2024/10/14,电视,苹果,16136.78,16.87,237,86.75,杭州,12
飞利浦 智能穿戴 X9,300,4940,2024/7/7,智能穿戴,飞利浦,362.55,17.25,612,80.66,深圳,24
苹果 笔记本电脑 X9,16541,12192,2024/12/8,笔记本电脑,苹果,17431.21,5.11,643,86.14,成都,12
海尔 笔记本电脑 X6,11617,12051,2024/5/30,笔记本电脑,海尔,16321.47,28.82,33,88.43,杭州,18
苹果 平板电脑 X4,7925,6664,2024/3/24,平板电脑,苹果,8685.03,8.75,44,82.19,成都,6
索尼 电视 X7,3416,637,2024/9/6,电视,索尼,4091.25,16.5,535,96.85,杭州,24
三星 智能穿戴 X8,789,4165,2025/1/25,智能穿戴,三星,856.25,7.85,930,94.09,上海,24
苹果 耳机 X10,202,1810,2025/1/11,耳机,苹果,263.8,23.43,192,84.88,成都,24
小米 智能家居 X6,2049,2422,2024/8/14,智能家居,小米,2145.79,4.51,726,84.52,上海,24
海尔 智能手机 X1,9479,18806,2024/12/17,智能手机,海尔,13186.23,28.11,674,88.54,深圳,24
OPPO 笔记本电脑 X1,7054,8022,2024/6/25,笔记本电脑,OPPO,7856.81,10.22,932,85.68,广州,24
三星 平板电脑 X8,1911,5701,2024/5/13,平板电脑,三星,2584.97,26.07,791,87.08,广州,18
联想 耳机 X1,727,232,2024/8/27,耳机,联想,859.3,15.4,437,93.7,杭州,6
海尔 笔记本电脑 X10,12594,17992,2024/12/19,笔记本电脑,海尔,13897.34,9.38,895,83.14,深圳,18
海尔 耳机 X5,368,2792,2024/6/3,耳机,海尔,472.44,22.11,23,98.81,广州,18
苹果 投影仪 X7,9428,1625,2024/7/21,投影仪,苹果,12936.97,27.12,226,92.37,武汉,6
联想 耳机 X3,449,700,2024/3/31,耳机,联想,567.95,20.94,436,91.83,成都,18
苹果 平板电脑 X7,3301,592,2024/7/18,平板电脑,苹果,3654.99,9.69,569,90.48,广州,24
OPPO 投影仪 X8,6139,2074,2024/7/30,投影仪,OPPO,8922.75,31.2,189,96.04,广州,6
海尔 投影仪 X1,9680,1869,2024/10/8,投影仪,海尔,13369.01,27.59,646,82.89,成都,24
小米 耳机 X4,78,2214,2024/10/27,耳机,小米,85.09,8.34,195,95.36,上海,12
小米 平板电脑 X5,6824,3166,2024/6/17,平板电脑,小米,8841.34,22.82,521,84.91,成都,6
戴尔 智能穿戴 X10,729,571,2024/9/9,智能穿戴,戴尔,1034.75,29.55,452,95.32,北京,24
三星 平板电脑 X8,6259,3305,2024/3/24,平板电脑,三星,6819.9,8.22,753,92.14,成都,18
飞利浦 耳机 X2,226,2594,2024/12/24,耳机,飞利浦,303.33,25.49,123,98.43,北京,12
联想 智能穿戴 X6,467,4085,2024/8/18,智能穿戴,联想,468.86,0.4,365,90.49,北京,24
苹果 投影仪 X5,3277,424,2024/6/1,投影仪,苹果,3359.11,2.44,640,86.06,上海,18
联想 耳机 X10,261,2639,2024/3/3,耳机,联想,313.82,16.83,739,80.18,武汉,6
海尔 平板电脑 X5,5747,4548,2024/10/8,平板电脑,海尔,7721.51,25.57,613,92,武汉,6
三星 电视 X2,10140,5937,2024/9/6,电视,三星,10286.06,1.42,20,88.32,广州,18
OPPO 耳机 X7,617,262,2024/8/12,耳机,OPPO,693.87,11.08,256,81.51,杭州,6
戴尔 智能手机 X1,8623,24107,2024/6/26,智能手机,戴尔,9264.82,6.93,691,85.38,杭州,6
小米 智能家居 X6,4389,1801,2024/5/11,智能家居,小米,5198.41,15.57,689,83.77,上海,24
小米 平板电脑 X7,4414,2265,2024/9/7,平板电脑,小米,5803.23,23.94,600,81.17,北京,24
索尼 智能穿戴 X3,589,4738,2024/4/12,智能穿戴,索尼,769.17,23.42,840,94.02,武汉,24
华为 笔记本电脑 X7,12543,19575,2024/10/6,笔记本电脑,华为,15805.31,20.64,72,81.52,成都,24
索尼 智能家居 X10,407,960,2024/12/28,智能家居,索尼,591.57,31.2,251,98.62,上海,6
索尼 智能家居 X7,3860,938,2024/10/16,智能家居,索尼,5228.41,26.17,484,92.24,武汉,12
海尔 平板电脑 X5,4562,8871,2024/5/20,平板电脑,海尔,4692.97,2.79,717,84.81,武汉,24
三星 耳机 X7,73,687,2024/6/14,耳机,三星,83.7,12.79,890,83.16,上海,6
OPPO 投影仪 X7,6904,4962,2024/12/26,投影仪,OPPO,10173.07,32.13,189,91.14,成都,18
联想 智能家居 X4,3613,391,2024/5/25,智能家居,联想,4496.92,19.66,678,84.2,北京,24
海尔 电视 X5,11624,319,2024/2/26,电视,海尔,14198.08,18.13,749,94.34,上海,24
戴尔 智能家居 X4,4264,1905,2025/1/26,智能家居,戴尔,5278.53,19.22,903,83.35,深圳,18
联想 智能手机 X7,6675,22565,2024/11/30,智能手机,联想,8636.28,22.71,448,87.67,杭州,6
海尔 投影仪 X2,9669,4295,2024/11/4,投影仪,海尔,11521.52,16.08,650,92.01,广州,24
戴尔 平板电脑 X8,7107,9242,2025/1/8,平板电脑,戴尔,9086.76,21.79,281,89.74,广州,12
华为 笔记本电脑 X9,12815,16895,2024/12/21,笔记本电脑,华为,17216.23,25.56,762,90.07,武汉,24
小米 智能家居 X5,4884,260,2024/9/10,智能家居,小米,5471.44,10.74,836,81.88,武汉,18
三星 智能家居 X8,3669,976,2025/1/1,智能家居,三星,5447.13,32.64,373,95.08,杭州,24
OPPO 投影仪 X4,6932,3707,2024/7/24,投影仪,OPPO,7180.35,3.46,906,85.8,广州,6
三星 智能家居 X7,4946,1421,2024/7/29,智能家居,三星,5260.71,5.98,539,92.18,上海,12
华为 笔记本电脑 X2,3889,17357,2024/6/5,笔记本电脑,华为,5635.74,30.99,439,83.36,深圳,18
联想 电视 X9,10943,4448,2024/12/18,电视,联想,14301.26,23.48,808,84.77,深圳,12
索尼 智能穿戴 X7,302,2776,2024/11/8,智能穿戴,索尼,315.3,4.22,381,97.29,杭州,6
OPPO 投影仪 X9,6803,1603,2024/5/21,投影仪,OPPO,8947.41,23.97,736,85.1,上海,12
戴尔 笔记本电脑 X6,18938,11937,2024/8/6,笔记本电脑,戴尔,20505.85,7.65,70,84.08,北京,18
海尔 电视 X7,1055,5279,2024/8/16,电视,海尔,1124.34,6.17,499,80.04,上海,12
联想 智能手机 X2,9433,9237,2024/9/28,智能手机,联想,10382.39,9.14,609,82.75,广州,12
联想 电视 X10,2917,8839,2024/5/30,电视,联想,4195.59,30.47,786,92.28,杭州,12
海尔 耳机 X2,833,2771,2024/2/10,耳机,海尔,982.54,15.22,985,95.66,杭州,6
华为 智能家居 X5,2127,1596,2024/9/26,智能家居,华为,2490.58,14.6,327,84.76,成都,24
小米 电视 X4,14008,4015,2024/11/7,电视,小米,16347.34,14.31,957,90.73,杭州,12
小米 投影仪 X1,6318,4592,2024/4/1,投影仪,小米,6713.49,5.89,686,88.55,成都,6
华为 平板电脑 X1,4615,6739,2024/5/28,平板电脑,华为,5832.85,20.88,864,84.35,上海,6
索尼 平板电脑 X9,6875,8547,2024/9/20,平板电脑,索尼,8283.13,17,828,82.75,成都,12
OPPO 平板电脑 X9,7924,6580,2024/4/22,平板电脑,OPPO,9293.49,14.74,838,93.38,上海,24
三星 智能穿戴 X4,521,2639,2024/8/18,智能穿戴,三星,619.51,15.9,335,97.99,武汉,12
联想 平板电脑 X9,2686,1008,2024/12/13,平板电脑,联想,3153.78,14.83,732,84.42,武汉,18
联想 投影仪 X3,4838,1048,2024/3/12,投影仪,联想,5763.03,16.05,215,83.49,成都,24
